name,num,rank,score
一个叫欧维的男人决定去死,127865,209,8.7
你的名字。,500330,210,8.4
勇闯夺命岛,147769,211,8.5
这个男人来自地球,191244,212,8.5
卡萨布兰卡,130069,213,8.6
城市之光,46718,214,9.2
变脸,222807,215,8.4
无耻混蛋,232822,216,8.4
初恋这件小事,482856,217,8.3
发条橙,193502,218,8.4
E.T. 外星人,160406,219,8.5
荒野生存,132764,220,8.6
黄金三镖客,54121,221,9.1
迁徙的鸟,53313,222,9.1
美国丽人,193015,223,8.4
无人知晓,61293,224,9.0
爱在午夜降临前,122401,225,8.8
英国病人,179331,226,8.4
燕尾蝶,110741,227,8.6
疯狂的石头,330632,228,8.3
非常嫌疑犯,121321,229,8.6
叫我第一名,112871,230,8.6
无敌破坏王,191686,231,8.6
勇士,90694,232,8.9
穆赫兰道,244158,233,8.3
步履不停,78743,234,8.8
国王的演讲,354077,235,8.3
血钻,138943,236,8.5
彗星来的那一夜,188990,237,8.4
上帝也疯狂,99571,238,8.6
枪火,104014,239,8.6
大卫·戈尔的一生,97861,240,8.6
遗愿清单,135185,241,8.5
聚焦,133346,242,8.8
蓝色大门,279843,243,8.3
我爱你,60362,244,9.0
荒岛余生,140164,245,8.5
千钧一发,90096,246,8.7
黑鹰坠落,120849,247,8.5
爱·回家,49068,248,9.0
麦兜故事,132244,249,8.5
海街日记,132626,250,8.6
