Academic_Reputation,Citations_per_Pape,Employer_Reputation,H_index_Citations,Overall_score,Ranking,Region,University_Name
81.8,88,90.4,95.4,87.5,17,China,Tsinghua University
84.2,93.8,81.6,87.8,86.3,18,Switzerland,Ecole Polytechnique Fédérale de Lausanne (EPFL)
83.2,86.4,88.7,87.2,85.7,19,South Korea,Seoul National University
80.7,93.4,85.6,87.4,85.6,20,South Korea,KAIST - Korea Advanced Institute of Science & Technology
81.1,92.1,84.4,88.2,85.4,21,Canada,University of Toronto
82.5,92.7,87.9,80.3,85.2,22,United States,Yale University
80.5,94.8,83.6,82.8,84.4,23,Hong Kong,The Hong Kong University of Science and Technology
79.5,92.4,88.7,81.1,84.2,24,United States,Princeton University
78.7,95.5,71.3,92.6,83.4,25,United States,University of Texas at Austin
73.8,91.9,81.6,95.4,83.3,26,China,Fudan University
,,,,,27,,
82.2,89,87.9,74.8,83.2,27,Hong Kong,The University of Hong Kong
78.5,83.8,87.4,87,83,29,Japan,Osaka University
78.8,92.6,74.8,89.4,82.9,30,United States,Georgia Institute of Technology
85.5,78.1,86.1,75.1,82.1,31,Japan,Tokyo Institute of Technology
80.9,85.7,79.9,81.6,81.8,32,Germany,Technical University of Munich
77.3,84.4,87.7,81.6,81.7,33,Taiwan,National Taiwan University (NTU)
80,85.3,87,76.3,81.7,33,Australia,墨尔本大学The University of Melbourne
74.7,90.4,81.1,86.3,81.4,35,United States,University of Michigan
78,86.8,80.9,82.3,81.2,36,Australia,蒙纳士大学Monash University
76.3,89.7,81.5,79,80.6,37,United States,Cornell University
75.6,87.1,89.7,74.5,80.5,38,Canada,McGill University
78.4,91.1,79.3,75.4,80.5,38,United States,University of Chicago
78.1,91,66.6,87.4,80.2,40,United States,University of Illinois at Urbana-Champaign
,,,,,41,,
78,90.7,75.3,77.4,79.9,41,United States,University of Pennsylvania
75.7,85.6,85.1,76.3,79.7,43,Australia,悉尼大学The University of Sydney
75.4,91.1,79.2,76.3,79.5,44,United States,Columbia University
71.9,88.6,81.1,82.8,79.3,45,Germany,RWTH Aachen University
79,90.7,66.5,81.3,79.3,45,United States,"University of California, San Diego (UCSD)"
73.7,88.6,77.2,83,79.2,47,United States,Purdue University
76.9,84.1,82.6,75.4,79.2,47,Canada,University of British Columbia
71.2,83.7,85,84.2,79.1,49,China,Shanghai Jiao Tong University
74.4,96.2,66.7,83.7,79.1,49,United States,"University of North Carolina, Chapel Hill"
70.5,89.2,70.4,95,79.1,49,China,University of Science and Technology of China
100,96,100,100,99.2,1,United States,Harvard University
97.6,100,96.9,97.3,97.9,2,United States,Massachusetts Institute of Technology (MIT)
95.4,92.8,93.8,94,94.3,3,United States,Stanford University
94.3,95.2,87.2,95.5,93.3,4,United States,"University of California, Berkeley (UCB)"
98.4,94.4,83.6,89.9,92.9,5,United States,Princeton University
94.9,97.4,81,95.9,92.8,6,United States,University of Chicago
,,,,,7,,
,,,,,8,,
91.5,91.9,87.5,88.2,90.1,9,United States,Yale University
88.9,92.4,84.5,94,89.7,10,United States,Columbia University
,,,,,11,,
87.8,91.1,83.7,90.6,88.2,12,United States,University of Pennsylvania
88.7,95.2,75.6,90.3,87.7,13,United States,Northwestern University
87.4,91.7,84.9,84.3,87.1,14,United States,"University of California, Los Angeles (UCLA)"
87.3,91.9,78.8,89.6,87,15,United States,New York University (NYU)
85.6,85.9,88.4,80,85.1,16,Italy,Bocconi University
,,,,,17,,
84.4,95.9,66,85.2,83.2,18,United States,"University of California, San Diego (UCSD)"
79.5,90.3,75.6,87.1,82.4,19,United States,Duke University
85,77.7,88.6,74.8,82.2,20,Singapore,National University of Singapore (NUS)
78.5,89.4,77.8,85.7,82,21,United States,University of Michigan
78.9,86.1,81.2,83.4,81.7,22,Canada,University of Toronto
80.9,78.6,90.6,75.7,81.3,23,Australia,墨尔本大学The University of Melbourne
83.4,78.7,83.7,75.7,81,24,Australia,澳大利亚国立大学The Australian National University
